"","year","ccode","worldbank","country","iso2c","un","scode","wbregion","iso3c","polity","polity2","democ","autoc","unreg","physint","speech","new_empinx","wecon","wopol","wosoc","elecsd","gdp.pc.wdi","gdp.pc.un","pop.wdi","amnesty","statedept","milper","cinc","bdeadbest","INGO_uia","domestic9","rt_code","nyt","amnesty.uas","region","muslim","nyt.lagged"
"69",1980,461,"TGO","Togo","TG",768,"TOG","Western Africa","TGO",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,417.6687675694,415.532586227463,2720838,2,2,4,0.0002102,0,111,0,"TGO",1,NA,"Africa",10,NA
"70",1980,471,"CMR","Cameroon","CM",120,"CAO","Middle Africa","CMR",-8,-8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,754.664820731724,992.906418593624,8932121,2,2,11,0.000635,0,163,0,"CMR",0,NA,"Africa",16,NA
"71",1980,475,"NGA","Nigeria","NG",566,"NIG","Western Africa","NGA",7,7,8,1,NA,NA,NA,NA,NA,NA,NA,NA,871.145781882764,1264.3563363424,73698099,2,2,150,0.0061625,0,409,0,"NGA",0,NA,"Africa",50,NA
"72",1980,481,"GAB","Gabon","GA",266,"GAB","Middle Africa","GAB",-9,-9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,5891.13410326222,7213.79045045372,726454,2,1,5,0.0001706,0,69,0,"GAB",0,NA,"Africa",0.5,NA
"73",1980,482,"CAF","Central African Republic","CF",140,"CEN","Middle Africa","CAF",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,350.491206397405,488.845581935305,2274089,NA,NA,4,0.0001793,0,NA,0,"CAF",0,NA,"Africa",15,NA
"74",1980,483,"TCD","Chad","TD",148,"CHA","Middle Africa","TCD",NA,0,-77,-77,NA,NA,NA,NA,NA,NA,NA,NA,228.907112197337,254.030011952975,4512758,NA,NA,3,0.0002587,1511,54,3125,"TCD",0,NA,"Africa",50,NA
"75",1980,484,"COG","Congo Brazzaville","CG",178,"CON","Middle Africa","COG",-8,-8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,949.557701432941,949.549797234537,1796412,2,2,16,0.0002888,0,NA,0,"COG",0,NA,"Africa",2,NA
"76",1980,490,"ZAR","Congo Kinshasa","CD",180,"ZAI","Middle Africa","COD",-9,-9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,546.143537297302,374.267232076926,26357407,4,3,26,0.0023803,0,NA,0,"COD",0,NA,"Africa",10,NA
"77",1980,500,"UGA","Uganda","UG",800,"UGA","Eastern Africa","UGA",3,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,99.1738579619609,237.34322117946,12549779,4,4,6,0.0007362,14857,190,2125,"UGA",0,NA,"Africa",16,NA
"78",1980,501,"KEN","Kenya","KE",404,"KEN","Eastern Africa","KEN",-6,-6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,446.603459078315,563.382028207114,16267906,NA,2,13,0.001204,0,294,0,"KEN",0,NA,"Africa",7,NA
"79",1980,510,"TZA","Tanzania","TZ",834,"TAZ","Eastern Africa","TZA",-6,-6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18686808,2,2,53,0.0014392,0,171,0,"TZA",0,NA,"Africa",35,NA
"80",1980,516,"BDI","Burundi","BI",108,"BUI","Eastern Africa","BDI",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,222.880939583415,224.764589558285,4126538,2,2,7,0.0002307,0,56,0,"BDI",0,NA,"Africa",1,NA
"81",1980,517,"RWA","Rwanda","RW",646,"RWA","Eastern Africa","RWA",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,244.080505070619,272.600445110435,5140786,NA,NA,5,0.0002744,0,57,1875,"RWA",0,NA,"Africa",1,NA
"82",1980,520,"SOM","Somalia","SO",706,"SOM","Eastern Africa","SOM",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,99.1168629200313,93.8294667958577,6089707,3,3,54,0.0007133,0,46,0,"SOM",0,NA,"Africa",100,NA
